"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","distanceFromCentroidInMeters","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","eventType","family","familyKey","fieldNotes","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/modified","http://unknown.org/nick","http://unknown.org/recordEnteredBy","http://unknown.org/recordID","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","institutionKey","isInCluster","island","islandGroup","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","nameAccordingToID","namePublishedInID","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","verbatimCoordinateSystem","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","waterBody","year","downloadDate"
"1","Bifurcaria bifurcata R.Ross",3197821,"Sligo",NA,NA,NA,"HUMAN_OBSERVATION",NA,"260284604","Phaeophyceae",7073593,"Ireland, EUROPE","Observations",NA,NA,"EUROPE",13,"Ireland",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-01T18:21:29",1,NA,NA,NA,NA,NA,32,"2025-02-01T15:46:15Z",NA,NA,"15:46:15+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"Ireland","5063757346","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"anna_e_k",NA,NA,NA,"588553549",NA,NA,NA,NA,"Anna Kellagher","260284604",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"IE",FALSE,"NE",5063757346,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:50:06.325+00:00","2025-05-30T22:50:06.325+00:00",54.358478,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-8.674872,"2025-04-14T01:25:04.000+00:00",2,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/260284604",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Anna Kellagher",NA,"https://www.inaturalist.org/observations/260284604",NA,"Anna Kellagher",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",32,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-01 15:46:15Z",NA,"Cummeen Strand/Drumcliff Bay (Sligo Bay) SAC, IE",NA,2025,2025-06-03
"2","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"261107310","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",13,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-09T11:30:59",9,NA,NA,NA,NA,NA,40,"2025-02-09T10:56:13Z",NA,NA,"10:56:13+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5064043784","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"nick37158",NA,NA,NA,"590839470",NA,NA,NA,NA,"jmneiva","261107310",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5064043784,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:59:29.424+00:00","2025-05-30T23:59:29.424+00:00",50.335831,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-4.196891,"2025-02-09T20:44:33.000+00:00",2,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/261107310",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Nick Butcher",NA,"https://www.inaturalist.org/observations/261107310",NA,"Nick Butcher",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",40,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-09 10:56:13Z",NA,"Cawsand Bay, Torpoint, England, GB",NA,2025,2025-06-03
"3","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"265193645","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",82,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-13T20:20:24",13,NA,NA,NA,NA,NA,72,"2025-03-13T11:53:10Z",NA,NA,"11:53:10+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5087840819","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"wubblebub",NA,NA,NA,"601134304",NA,NA,"Because of the branches and the ocher colour",NA,"Héctor Ibáñez Cantero","265193645",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5087840819,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:54:54.950+00:00","2025-05-30T23:54:54.950+00:00",50.121765,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.481174,"2025-03-13T20:49:20.000+00:00",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/265193645",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","wubblebub",NA,"https://www.inaturalist.org/observations/265193645",NA,"wubblebub",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",72,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-13 11:53:10",NA,"Marazion, UK",NA,2025,2025-06-03
"4","Bifurcaria bifurcata R.Ross",3197821,"Clare",NA,NA,NA,"HUMAN_OBSERVATION",NA,"266426781","Phaeophyceae",7073593,"Ireland, EUROPE","Observations",NA,NA,"EUROPE",2,"Ireland",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-22T19:31:31",20,NA,NA,NA,NA,NA,79,"2025-03-20T15:20Z",NA,NA,"15:20:00+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"Ireland","5108082884","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"swimjamie",NA,NA,NA,"604074318",NA,NA,NA,NA,"Jamie O'Neill","266426781",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"IE",FALSE,"NE",5108082884,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:12:53.519+00:00","2025-05-31T00:12:53.519+00:00",53.115827,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-9.291109,"2025-04-13T16:34:23.000+00:00",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/266426781","Lower shore rockpool.","PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,"https://www.inaturalist.org/projects/intertidal-zone","DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jamie O'Neill",NA,"https://www.inaturalist.org/observations/266426781",NA,"Jamie O'Neill",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",79,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025/03/20 3:20 PM",NA,"Fanore, Clare, Ireland",NA,2025,2025-06-03
"5","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"266724945","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",19,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-24T09:19:02",2,NA,NA,NA,NA,NA,61,"2025-03-02T13:15:47Z",NA,NA,"13:15:47+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5104603986","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"matilda42",NA,NA,NA,"604683995",NA,NA,NA,NA,"matilda42","266724945",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5104603986,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:05:26.696+00:00","2025-05-31T00:05:26.696+00:00",51.0295,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.26733,"2025-04-14T01:11:11.000+00:00",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/266724945",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","matilda42",NA,"https://www.inaturalist.org/observations/266724945",NA,"matilda42",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",61,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-02 13:15:47Z",NA,"Barnstaple or Bideford Bay, Bideford, England, GB",NA,2025,2025-06-03
"6","Bifurcaria bifurcata R.Ross",3197821,"Clare",NA,NA,NA,"HUMAN_OBSERVATION",NA,"266960118","Phaeophyceae",7073593,"Ireland, EUROPE","Observations",NA,NA,"EUROPE",2,"Ireland",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-25T21:44:16",23,NA,NA,NA,NA,NA,82,"2025-03-23T15:04Z",NA,NA,"15:04:00+00:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"Ireland","5104633179","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"swimjamie",NA,NA,NA,"605223796",NA,NA,NA,NA,"Jamie O'Neill","266960118",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"IE",FALSE,"NE",5104633179,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:25:15.446+00:00","2025-05-30T23:25:15.446+00:00",53.062207,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-9.363861,"2025-04-14T06:14:17.000+00:00",3,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/266960118","Lower-shore rockpool, exposed shore.","PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,"https://www.inaturalist.org/projects/intertidal-zone","DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jamie O'Neill",NA,"https://www.inaturalist.org/observations/266960118",NA,"Jamie O'Neill",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",82,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025/03/23 3:04 PM",NA,"Poulsallagh, Clare, Ireland",NA,2025,2025-06-03
"7","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"269678367","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",3,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-10T20:51:18",10,NA,NA,NA,NA,NA,100,"2025-04-10T11:42:15",NA,NA,"11:42:15+01:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5133145487","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"beachschoolexplorers",NA,NA,NA,"611251826",NA,NA,NA,NA,"Beach School Explorers","269678367",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5133145487,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:28:42.292+00:00","2025-05-31T00:28:42.292+00:00",50.315297,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.083108,"2025-04-11T08:47:26.000+00:00",4,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/269678367",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Beach School Explorers",NA,"https://www.inaturalist.org/observations/269678367",NA,"Beach School Explorers",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",100,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-10 11:42:15+01:00",NA,"Wembury Bay, Plymouth, England, GB",NA,2025,2025-06-03
"8","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"270013886","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-12T17:47:09",12,NA,NA,NA,NA,NA,102,"2025-04-12T12:27:39",NA,NA,"12:27:39+01:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5133305192","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"someone-who",NA,NA,NA,"611982074",NA,NA,NA,NA,"Benjamin (Ben) Ross","270013886",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5133305192,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:16:17.442+00:00","2025-05-31T00:16:17.442+00:00",50.31622,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.088269,"2025-04-13T12:35:49.000+00:00",4,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/270013886",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Benjamin (Ben) Ross",NA,"https://www.inaturalist.org/observations/270013886",NA,"Benjamin (Ben) Ross",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",102,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-12 12:27:39",NA,"Plymouth PL9 0AU, UK",NA,2025,2025-06-03
"9","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"271515800","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-19T19:11:27",19,NA,NA,NA,NA,NA,109,"2025-04-19T14:46:04",NA,NA,"14:46:04+01:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5134483475","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"f_izzy",NA,NA,NA,"615060913",NA,NA,NA,NA,"Isobel F","271515800",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5134483475,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T01:22:32.570+00:00","2025-05-31T01:22:32.570+00:00",50.1008,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.417972,"2025-04-19T20:05:08.000+00:00",4,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/271515800",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Isobel F",NA,"https://www.inaturalist.org/observations/271515800",NA,"Isobel F",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",109,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-19 14:46:04",NA,"Prussia Cove, Rosudgeon, Penzance TR20 9BB, UK",NA,2025,2025-06-03
"10","Bifurcaria bifurcata R.Ross",3197821,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"274796100","Phaeophyceae",7073593,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",8,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-27T16:23:30",27,NA,NA,NA,NA,NA,117,"2025-04-27T10:28:03",NA,NA,"10:28:03+01:00",NA,"Sargassaceae",7733,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5140830363","EUROPE","Bifurcaria","Bifurcaria",3197820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"rockpooler",NA,NA,NA,"620409108",NA,NA,NA,NA,"Rock Pooler","274796100",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,NA,"GB",FALSE,"NE",5140830363,"Chromista",4,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:26:49.101+00:00","2025-05-30T23:26:49.101+00:00",50.247402,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-3.860401,"2025-04-27T19:11:06.000+00:00",4,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/274796100",NA,"PRESENT","Fucales",1182,NA,NA,NA,NA,NA,NA,"Ochrophyta",98,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Rock Pooler",NA,"https://www.inaturalist.org/observations/274796100",NA,"Rock Pooler",NA,"Bifurcaria bifurcata R.Ross",NA,NA,"Bifurcaria bifurcata",3197821,"bifurcata",117,NA,"343396",3197821,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-27 10:28:03",NA,"The Haven, Kingsbridge, England, GB",NA,2025,2025-06-03
