"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","distanceFromCentroidInMeters","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferenceRemarks","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/modified","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","materialEntityID","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vernacularName","vitality","waterBody","year","downloadDate"
"1","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Scotland",NA,NA,"HUMAN_OBSERVATION",NA,"257355458","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,9,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-04T14:29:13",4,NA,NA,NA,NA,NA,4,"2025-01-04T14:28:22Z",NA,NA,"14:28:22+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5007599776","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"sugarsnap_t",NA,"580165120",NA,NA,NA,"sugarsnap_t","257355458",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5007599776,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:48:55.830+00:00","2025-05-30T22:48:55.830+00:00",56.102792,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-3.158872,NA,"2025-04-11T03:48:49.000+00:00",1,NA,NA,NA,"https://www.inaturalist.org/observations/257355458",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","sugarsnap_t",NA,"https://www.inaturalist.org/observations/257355458","sugarsnap_t",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",4,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-04 14:28:22",NA,"Kirkcaldy West, UK",NA,NA,NA,2025,2025-06-03
"2","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Adur Estuary, Shoreham-By-Sea, near railway bridge, United Kingdom, EUROPE","iRecord | General data",NA,NA,"EUROPE",NA,50,"United Kingdom",365,NA,"97d01261-0027-4e89-a0d2-4a7d700f5fdb",NA,NA,10,NA,NA,NA,NA,NA,10,"2025-01-10","28462261","Tidal river estuary",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5151927862","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,"Marine Biological Association, and Biological Records Centre",NA,NA,NA,"Accepted - correct","Phillips, Nick","40c6b7a7-2662-4410-a720-e5a80866c28d",NA,"99552c70-f762-11e1-a439-00145eb45e9a",NA,NA,NA,FALSE,NA,"GB",FALSE,"NE",5151927862,"Animalia",1,NA,"2025-05-29T21:02:06.558+00:00","2025-05-29T21:02:51.791+00:00","2025-05-29T21:02:51.791+00:00",50.833619,"http://creativecommons.org/licenses/by/4.0/legalcode","Adult","Adur Estuary, Shoreham-By-Sea, near railway bridge",NA,NA,-0.284075,NA,NA,1,NA,NA,NA,"40070710","Observed incidental to an algal survey","PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","f6b48504-1651-4a49-a88d-c2bc6178694d","Phillips, N. Nick",NA,NA,NA,NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,"Indeterminate","Semibalanus balanoides",2115784,"balanoides",10,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2025,2025-06-03
"3","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,NA,"Maxillopoda",203,"Adur Estuary, Shoreham-By-Sea, below A259 bridge, United Kingdom, EUROPE","iRecord | General data",NA,NA,"EUROPE",NA,50,"United Kingdom",365,NA,"97d01261-0027-4e89-a0d2-4a7d700f5fdb",NA,NA,10,NA,NA,NA,NA,NA,10,"2025-01-10","28462493","Tidal river, algae in shallow pools",NA,"Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5151927336","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"07f617d0-c688-11d8-bf62-b8a03c50a862",NA,NA,NA,"https://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,"Marine Biological Association, and Biological Records Centre",NA,NA,NA,"Accepted - correct","Phillips, Nick","444259c9-d71a-41ac-aa8d-a906bda63ef4",NA,"99552c70-f762-11e1-a439-00145eb45e9a",NA,NA,NA,FALSE,NA,"GB",FALSE,"NE",5151927336,"Animalia",1,NA,"2025-05-29T21:02:06.558+00:00","2025-05-29T21:02:54.925+00:00","2025-05-29T21:02:54.925+00:00",50.831754,"http://creativecommons.org/licenses/by/4.0/legalcode","Adult","Adur Estuary, Shoreham-By-Sea, below A259 bridge",NA,NA,-0.279984,NA,NA,1,NA,NA,NA,"40071030","Observed incidental to an algal survey","PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","f6b48504-1651-4a49-a88d-c2bc6178694d","Phillips, N. Nick",NA,NA,NA,NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,"Indeterminate","Semibalanus balanoides",2115784,"balanoides",10,"NBNSYS0000042568","NBNSYS0000042568",2115784,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"Acorn Barnacle",NA,NA,2025,2025-06-03
"4","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Wales",NA,NA,"HUMAN_OBSERVATION",NA,"260539302","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-03T21:53:51",3,NA,NA,NA,NA,NA,34,"2025-02-03T21:25:37Z",NA,NA,"21:25:37+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063803419","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"yolandave_24",NA,"589240296",NA,NA,NA,"Yolanda Evans","260539302",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063803419,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T01:06:31.410+00:00","2025-05-31T01:06:31.410+00:00",53.220833,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.164458,NA,"2025-04-14T07:18:57.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/260539302",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Yolanda Evans",NA,"https://www.inaturalist.org/observations/260539302","Yolanda Evans",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",34,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-03 21:25:37",NA,"Menai Bridge, UK",NA,NA,NA,2025,2025-06-03
"5","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"261668786","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,4,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-14T23:05:36",14,NA,NA,NA,NA,"{""evidenceOfPresence"":""organism""}",45,"2025-02-14T12:33:20Z",NA,NA,"12:33:20+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5087177229","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"campbellfmh",NA,"592463125",NA,NA,NA,"campbellfmh","261668786",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5087177229,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:55:07.931+00:00","2025-05-30T23:55:07.931+00:00",54.274022,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-0.394078,NA,"2025-04-15T15:38:54.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/261668786",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","campbellfmh",NA,"https://www.inaturalist.org/observations/261668786","campbellfmh",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",45,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-14 12:33:20Z",NA,"South Bay, Scarborough, England, GB",NA,"alive",NA,2025,2025-06-03
"6","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"261721131","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T13:27:05",15,NA,NA,NA,NA,NA,46,"2025-02-15T13:07:59Z",NA,NA,"13:07:59+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5069956355","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"oftd",NA,"592594714",NA,NA,NA,"shas319","261721131",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5069956355,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:11:41.402+00:00","2025-05-31T00:11:41.402+00:00",50.356986,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-4.124903,NA,"2025-02-15T14:44:17.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/261721131",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Gavin Jones",NA,"https://www.inaturalist.org/observations/261721131","Gavin Jones",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",46,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 13:07:59",NA,"Mt Batten House, Mount Batten, Plymouth PL9 9SS, UK",NA,NA,NA,2025,2025-06-03
"7","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"261758802","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T19:56:03",15,NA,NA,NA,NA,NA,46,"2025-02-15T14:37:35Z",NA,NA,"14:37:35+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5070087572","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"bellaallan",NA,"592694377",NA,NA,NA,"Bella","261758802",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5070087572,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:55:06.502+00:00","2025-05-30T22:55:06.502+00:00",50.356633,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.127114,NA,"2025-04-15T21:08:49.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/261758802",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Bella",NA,"https://www.inaturalist.org/observations/261758802","Bella",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",46,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 14:37:35",NA,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",NA,NA,NA,2025,2025-06-03
"8","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Northern Ireland",NA,NA,"HUMAN_OBSERVATION",NA,"269310694","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,10,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-08T16:53:44",8,NA,NA,NA,NA,NA,98,"2025-04-08T17:53:33",NA,NA,"17:53:33+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5134659608","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"rduff05",NA,"610462839",NA,NA,NA,"rduff05","269310694",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5134659608,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:47:09.507+00:00","2025-05-30T23:47:09.507+00:00",54.394088,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.575158,NA,"2025-04-08T17:03:25.000+00:00",4,NA,NA,NA,"https://www.inaturalist.org/observations/269310694",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","rduff05",NA,"https://www.inaturalist.org/observations/269310694","rduff05",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",98,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-08 17:53:33+01:00",NA,"Strangford Lough, Ards and North Down, Northern Ireland, GB",NA,NA,NA,2025,2025-06-03
"9","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Basse-Normandie",NA,NA,"HUMAN_OBSERVATION",NA,"275634874","Maxillopoda",203,"France, EUROPE","Observations",NA,NA,"EUROPE",NA,4,"France",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-28T13:34:49",28,NA,NA,NA,NA,NA,118,"2025-04-28T15:34:30",NA,NA,"15:34:30+02:00","Archaeobalanidae",5103,NA,NA,NA,NA,"France","5166834116","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"gael-grf",NA,"621516659",NA,NA,NA,"gael-grf","275634874",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"FR",FALSE,"NE",5166834116,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:07:31.082+00:00","2025-05-31T00:07:31.082+00:00",49.702612,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-1.350985,NA,"2025-05-21T16:50:59.000+00:00",4,NA,NA,NA,"https://www.inaturalist.org/observations/275634874",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"https://www.inaturalist.org/projects/estrans-de-normandie","DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","gael-grf",NA,"https://www.inaturalist.org/observations/275634874","gael-grf",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",118,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-28 15:34:30+02:00",NA,"Manche, Vicq-sur-Mer, FR",NA,NA,NA,2025,2025-06-03
"10","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"280994951","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,5,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-05-14T12:25:53",14,NA,NA,NA,NA,NA,134,"2025-05-14T13:25:42",NA,NA,"13:25:42+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5167545386","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"ejc28",NA,"631738789",NA,NA,NA,"ejc28","280994951",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5167545386,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:54:07.946+00:00","2025-05-30T22:54:07.946+00:00",50.240321,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.395743,NA,"2025-05-14T13:53:57.000+00:00",5,NA,NA,NA,"https://www.inaturalist.org/observations/280994951",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ejc28",NA,"https://www.inaturalist.org/observations/280994951","ejc28",NA,"Semibalanus balanoides (Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",134,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2025-05-14 13:25:42+01:00",NA,"North Atlantic Ocean, Hayle, England, GB",NA,NA,NA,2025,2025-06-03
