"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",668.5,84,84.211,0.682,0.662,0.595
"2","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",668.5,84,84.211,0.857,0.903,0.826
"3","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",481,88,86.842,0.748,0.599,0.477
"4","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",483,88,86.842,0.921,0.926,0.775
"5","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","TSS",470,100,100,1,0.696,0.475
"6","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","ROC",473,100,100,1,0.972,0.812
"7","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",247,56,98.684,0.547,0.634,0.279
"8","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",250,56,98.684,0.773,0.817,0.64
"9","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",578,84,81.579,0.656,0.75,0.645
"10","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",579,84,81.579,0.831,0.96,0.861
"11","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",434,88,85.526,0.735,0.628,0.457
"12","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",436.5,88,85.526,0.926,0.923,0.773
"13","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","TSS",494,100,100,1,0.815,0.565
"14","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","ROC",496,100,100,1,0.98,0.836
"15","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",490,68,100,0.68,0.724,0.293
"16","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",491.5,68,100,0.838,0.862,0.646
"17","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","TSS",743.5,80.556,91.667,0.722,NA,0.639
"18","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","ROC",743.5,80.556,91.667,0.87,NA,0.876
"19","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","TSS",419,88.889,84.259,0.731,NA,0.511
"20","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","ROC",324,91.667,81.481,0.929,NA,0.809
"21","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","TSS",460,100,100,1,NA,0.518
"22","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","ROC",459,100,100,1,NA,0.846
"23","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",247,55.556,99.074,0.546,NA,0.323
"24","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",250,55.556,99.074,0.773,NA,0.662
"25","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","TSS",511,80.556,91.667,0.722,NA,0.643
"26","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","ROC",455,83.333,88.889,0.87,NA,0.87
"27","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","TSS",141,91.667,83.333,0.75,NA,0.526
"28","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","ROC",140,91.667,83.333,0.928,NA,0.805
"29","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","TSS",480,100,100,1,NA,0.517
"30","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","ROC",479,100,100,1,NA,0.836
"31","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",247,55.556,99.074,0.546,NA,0.323
"32","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",250,55.556,99.074,0.773,NA,0.662
