"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",486.5,94.444,76.923,0.714,0.87,0.645
"2","Chthamalus.montagui_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",488.5,94.444,76.923,0.89,0.988,0.866
"3","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",543,94.444,92.308,0.868,0.727,0.324
"4","Chthamalus.montagui_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",547,94.444,92.308,0.978,0.969,0.682
"5","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","TSS",444,100,100,1,0.77,0.413
"6","Chthamalus.montagui_PA1_RUN1_RF","PA1","RUN1","RF","ROC",444,100,100,1,0.988,0.776
"7","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",247,72.222,98.077,0.703,0.671,0.231
"8","Chthamalus.montagui_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",250,72.222,98.077,0.851,0.835,0.616
"9","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",766,88.889,86.538,0.774,0.683,0.635
"10","Chthamalus.montagui_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",828.5,83.333,94.231,0.934,0.894,0.866
"11","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",415,100,92.308,0.923,0.64,0.352
"12","Chthamalus.montagui_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",413.5,100,92.308,0.975,0.957,0.711
"13","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","TSS",499,100,100,1,0.727,0.442
"14","Chthamalus.montagui_PA1_RUN2_RF","PA1","RUN2","RF","ROC",497,100,100,1,0.966,0.78
"15","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",247,77.778,98.077,0.759,0.727,0.317
"16","Chthamalus.montagui_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",250,77.778,98.077,0.879,0.863,0.658
"17","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","TSS",436,96,80,0.76,NA,0.639
"18","Chthamalus.montagui_PA1_allRun_GAM","PA1","allRun","GAM","ROC",441,96,80,0.933,NA,0.876
"19","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","TSS",358,100,85.333,0.853,NA,0.363
"20","Chthamalus.montagui_PA1_allRun_GLM","PA1","allRun","GLM","ROC",356.5,100,85.333,0.976,NA,0.715
"21","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","TSS",490,100,100,1,NA,0.423
"22","Chthamalus.montagui_PA1_allRun_RF","PA1","allRun","RF","ROC",487,100,100,1,NA,0.736
"23","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",247,76,98.667,0.747,NA,0.263
"24","Chthamalus.montagui_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",250,76,98.667,0.873,NA,0.631
"25","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","TSS",203,96,80,0.76,NA,0.653
"26","Chthamalus.montagui_allData_allRun_GAM","allData","allRun","GAM","ROC",202,96,80,0.934,NA,0.879
"27","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","TSS",188.5,92,86.667,0.813,NA,0.376
"28","Chthamalus.montagui_allData_allRun_GLM","allData","allRun","GLM","ROC",111,100,81.333,0.974,NA,0.729
"29","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","TSS",439,100,100,1,NA,0.413
"30","Chthamalus.montagui_allData_allRun_RF","allData","allRun","RF","ROC",444,100,100,1,NA,0.724
"31","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",247,76,98.667,0.747,NA,0.263
"32","Chthamalus.montagui_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",250,76,98.667,0.873,NA,0.631
