"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",555.5,57.5,74.167,0.358,0.294,0.133
"2","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",542,65,70.833,0.663,0.704,0.504
"3","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",542,67.5,69.167,0.367,0.392,0.096
"4","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",541.5,67.5,69.167,0.66,0.681,0.488
"5","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","TSS",478,100,100,1,0.412,0.493
"6","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","ROC",478,100,100,1,0.819,0.794
"7","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",552,70,85,0.55,0.431,0.282
"8","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",553.5,70,85,0.817,0.823,0.628
"9","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",522,75,63.333,0.392,0.275,0.181
"10","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",526,75,66.667,0.701,0.65,0.536
"11","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",536,75,63.333,0.375,0.314,0.236
"12","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",537.5,75,65,0.715,0.592,0.601
"13","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","TSS",449,100,100,1,0.392,0.43
"14","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","ROC",452,100,100,1,0.694,0.742
"15","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",486.5,87.5,85,0.725,0.275,0.36
"16","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",477.5,90,83.333,0.925,0.625,0.676
"17","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","TSS",553.5,63.158,70.76,0.357,NA,0.174
"18","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","ROC",529.5,70.175,67.251,0.686,NA,0.516
"19","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","TSS",578,59.649,77.778,0.38,NA,0.204
"20","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","ROC",578.5,59.649,78.363,0.678,NA,0.524
"21","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","TSS",478,100,100,1,NA,0.464
"22","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","ROC",480,100,100,1,NA,0.771
"23","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",479,78.947,76.608,0.556,NA,0.401
"24","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",483.5,78.947,77.193,0.835,NA,0.671
"25","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","TSS",286,64.912,70.175,0.351,NA,0.147
"26","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","ROC",272.5,70.175,66.667,0.686,NA,0.517
"27","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","TSS",313,59.649,77.778,0.38,NA,0.181
"28","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","ROC",315.5,59.649,78.363,0.677,NA,0.514
"29","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","TSS",480,100,100,1,NA,0.441
"30","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","ROC",481,100,100,1,NA,0.759
"31","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",479,78.947,76.608,0.556,NA,0.401
"32","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",483.5,78.947,77.193,0.835,NA,0.671
