"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",531,72.5,65.833,0.4,0.333,0.169
"2","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",536,72.5,68.333,0.691,0.631,0.523
"3","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",529,72.5,67.5,0.4,0.333,0.123
"4","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",532,72.5,69.167,0.691,0.633,0.511
"5","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","TSS",453,100,100,1,0.157,0.407
"6","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","ROC",454,100,100,1,0.757,0.737
"7","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",498,87.5,85.833,0.733,0.353,0.332
"8","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",498,87.5,85.833,0.887,0.684,0.672
"9","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",526,72.5,68.333,0.408,0.333,0.161
"10","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",533.5,72.5,69.167,0.696,0.633,0.512
"11","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",542,72.5,70.833,0.433,0.353,0.16
"12","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",540.5,72.5,70.833,0.698,0.629,0.514
"13","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","TSS",485,100,100,1,0.569,0.548
"14","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","ROC",483,100,100,1,0.846,0.835
"15","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",454,82.5,74.167,0.567,0.471,0.406
"16","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",455.5,82.5,74.167,0.838,0.774,0.666
"17","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","TSS",553.5,63.158,70.76,0.357,NA,0.174
"18","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","ROC",529.5,70.175,67.251,0.686,NA,0.516
"19","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","TSS",578,59.649,77.778,0.38,NA,0.204
"20","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","ROC",578.5,59.649,78.363,0.678,NA,0.524
"21","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","TSS",499,100,100,1,NA,0.465
"22","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","ROC",498,100,100,1,NA,0.769
"23","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",479,78.947,76.608,0.556,NA,0.401
"24","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",483.5,78.947,77.193,0.835,NA,0.671
"25","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","TSS",286,64.912,70.175,0.351,NA,0.147
"26","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","ROC",272.5,70.175,66.667,0.686,NA,0.517
"27","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","TSS",313,59.649,77.778,0.38,NA,0.181
"28","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","ROC",315.5,59.649,78.363,0.677,NA,0.514
"29","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","TSS",476,100,100,1,NA,0.441
"30","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","ROC",479,100,100,1,NA,0.753
"31","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",479,78.947,76.608,0.556,NA,0.401
"32","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",483.5,78.947,77.193,0.835,NA,0.671
