"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",610,53.846,83.333,0.385,0.273,0.273
"2","Semibalanus.balanoides_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",589,57.692,80.769,0.734,0.752,0.565
"3","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",563,73.077,76.923,0.5,0.515,0.215
"4","Semibalanus.balanoides_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",564,73.077,76.923,0.751,0.796,0.604
"5","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","TSS",450,100,100,1,0.606,0.286
"6","Semibalanus.balanoides_PA1_RUN1_RF","PA1","RUN1","RF","ROC",452,100,100,1,0.866,0.679
"7","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",418,76.923,76.923,0.538,0.545,0.222
"8","Semibalanus.balanoides_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",426,76.923,78.205,0.821,0.857,0.544
"9","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",480,80.769,67.949,0.487,0.212,0.235
"10","Semibalanus.balanoides_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",481,80.769,67.949,0.77,0.661,0.575
"11","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",503.5,80.769,70.513,0.513,0.212,0.253
"12","Semibalanus.balanoides_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",503.5,80.769,70.513,0.785,0.652,0.622
"13","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","TSS",444,100,100,1,0.455,0.308
"14","Semibalanus.balanoides_PA1_RUN2_RF","PA1","RUN2","RF","ROC",445,100,100,1,0.818,0.639
"15","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",0,100,0,0.474,0.242,0.225
"16","Semibalanus.balanoides_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",25,76.923,71.795,0.811,0.631,0.604
"17","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","TSS",502,78.378,63.964,0.423,NA,0.226
"18","Semibalanus.balanoides_PA1_allRun_GAM","PA1","allRun","GAM","ROC",506.5,78.378,64.865,0.742,NA,0.558
"19","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","TSS",562,75.676,77.477,0.532,NA,0.298
"20","Semibalanus.balanoides_PA1_allRun_GLM","PA1","allRun","GLM","ROC",561,75.676,77.477,0.775,NA,0.608
"21","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","TSS",451,100,100,1,NA,0.197
"22","Semibalanus.balanoides_PA1_allRun_RF","PA1","allRun","RF","ROC",452,100,100,1,NA,0.599
"23","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","TSS",438.5,75.676,81.081,0.577,NA,0.251
"24","Semibalanus.balanoides_PA1_allRun_MAXENT","PA1","allRun","MAXENT","ROC",424.5,78.378,79.279,0.854,NA,0.601
"25","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","TSS",257,75.676,65.766,0.414,NA,0.249
"26","Semibalanus.balanoides_allData_allRun_GAM","allData","allRun","GAM","ROC",248.5,78.378,63.964,0.741,NA,0.561
"27","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","TSS",300,78.378,75.676,0.541,NA,0.261
"28","Semibalanus.balanoides_allData_allRun_GLM","allData","allRun","GLM","ROC",302,78.378,75.676,0.773,NA,0.62
"29","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","TSS",451,100,100,1,NA,0.197
"30","Semibalanus.balanoides_allData_allRun_RF","allData","allRun","RF","ROC",452,100,100,1,NA,0.599
"31","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","TSS",438.5,75.676,81.081,0.577,NA,0.251
"32","Semibalanus.balanoides_allData_allRun_MAXENT","allData","allRun","MAXENT","ROC",424.5,78.378,79.279,0.854,NA,0.601
